text,label
هيئة علماء المسلمين في العراق تنعى الشيخ المحدث ( محمد اسرائيل الندوي ) رحمه الله احد كبار علماء الحديث في الهند ، الذي توفي يوم الثلاثاء : (29 شوال 1440 ه =2 / 7 / 2019 م ) عن عمر ناهز (87) عاما قضاها في خدمة العلم و السنة النبوية .,"['acceptance', 'sadness']"
اشمئز من كل انثى تصف نفسها ب كل فخر انها عنيدة ودماغها ناشفة و محدش يقدر عليها ! يا بنت الأكرمين ده مش موضع فخر ده عار عليكي كامرأة ؛ انت كدة عاوزة كسر دماغك وتربية من الأول .,"['anger', 'disgust']"
عيل ب احط لج نعناع وجبنه الماعز مع الطماطم المجففه والتوست المحمص الشهي,['acceptance']
عدنان طاح في المدرسة و قطع لسانه قطع صغير وسوله ثلاثه غرز في لسانه ، الحمد ل الله الولد طيب الان .,"['acceptance', 'sadness']"
انا و موبيلي بقينا silent .,['neutral']
# هات _ كلمه _ جنوبيه ايست الأخبار من صوبكم ي اهل الجنوب داركم عقب البطا سعد ابو من زارها,['acceptance']
"الثقة بالنفس ليست الإعتقاد بأن الجميع سيعجب بك , بل هي اعتقادك بأن اعجاب الناس او عدمه لن يؤثر على شخصيتك .","['anticipation', 'disgust']"
احيانا سوء اختيار المستشار او المغرد المحسوب على احد اطراف الأزمة بدول الحصار ، يفضح حقيقة الرمز ، وعقليته ، وكيفية اختياره ل ل رجال .,['acceptance']
فهموني .. ؟ . العمر مرة ، و الا مراءة ..,['neutral']
و الحب دا عمر و غيرك مين يقدر يسعدني بأوقاته . صبح الي ب يحب في ايامنا طيب و كمان على ناياتو,"['love', 'sadness']"
الى كل الطلاب و الطالبات تعليق الدراسة لا يعني توقف التعليم ولخدمتكم ومساعدتكم في فهم مقرر الفيزياء للمرحلة الثانوية انا متواجد على منصة لخدمتكم ❤️ - حمل تطبيق ( نون اكاديمي ) - ادخل ب رقم جوالك - ابحث عن ( علي السبيعي ) و بس ✋🏻 # تعليق _ الدراسة # التعليم _ عن _ بعد,['anticipation']
قلو عيونو مش فجأة بينتسوا وضحكات عيونو ثابتين ما بينقصوا ??,"['love', 'acceptance']"
هذا فيطي ??,['neutral']
رأيت الثقب في سفينتك منذ اليوم الأول و لكني غامرت ب الإبحار معك ظنا مني ان الحب يصنع المعجزات .,"['love', 'sadness']"
حاولت الا تغيرني هذه الحياة يا الله لكنها غيرتني ..,['sadness']
مو شي و انت ب نص حلقه واتييك اختك تبيك اتييب ساعتها من المحل !!,['disgust']
قروي بيدلع زوجته قالها انتي حمامه قالت له لا انا غزاله قالها القروي المهم حيوانه,['joy']
- لا قيود لي : و لا اهتم بأفواه البشر و لا تعجبني اجواء المجاملة .. ان احببتك ؟ سأخبرك و ان كرهتك ؟ لا اراك ',['acceptance']
مقترح للفيضانات : احد الحلول المجربة في محاربة الفيضانات هي خزانات البوليستر . الفكرة هي محاربة المياه بالمياه . يتم ملؤها بالماء لصد الفيضان ، و يمكن استخدامها لتطويق و حماية المنازل و المزارع على امتدادات طويلة . اتمنى ان تشجع الدولة مصانع البلاستيك على انتاجها في # السودان لاهميتها .,['anticipation']
عجبا ل كثير من البشر اذا تعلق الأمر بذنوبهم اكدوا ان ( الله غفور رحيم ) ! و اذا تعلق الأمر بذنوب الاخرين اكدوا ان ( الله شديد العقاب ) ! # قروب _ ملوك _ تويتر,['surprise']
اللي مصبرني علي يوم الاربعاء الغثيث ان الخميس اوف,"['acceptance', 'anger']"
اشعر بمرارة طعم كل الكلمات التي بدلا من ان اقولها قمت بابتلاعها .,['sadness']
قل من يرزقكم من السماوات و الأرض قل الله و انا او اياكم لعلى هدى او في ضلال مبين,['anticipation']
ما لذة العيش الا ان نكون معا ننسى الأماكن والأشياء والزمنا ان ينشدوا عنك : في اي الديار ترى ؟ وضعت كفي على صدري و قلت : هنا او يبصروك بأجفاني وأوردتي ويسألوا عنك : من هذا ؟ اجبت : انا,['love']
# lhly # lahly عفوا كلكم اهلي و لكن اعذروني المسمى مصري 😍😌😌,['acceptance']
اعتقد هذا e ery otel arrogeat الي تطلع من ب يكري ستريت ستيشن,['neutral']
ليش السيد # عون عنده صلاحية يطلب من # وزير _ الداخلية !!!,"['surprise', 'disgust']"
يامنافق يا ابن المنافق والمنافقة دمرتم اليمن والدول العربية بفلوسكم القذرة وفوضى شوية مرتزقة ، ب اسم الثورة ! و الان توقف ضد ثوار السودان مع نظام البشير السيء ! كنت اعتقد انك قد تكون مختلف عن والديك ، لكن مستحيل لن ينسى اليمنيون انكم اول من فجر الوضع في بلادهم,"['anger', 'disgust']"
من فنون الحياة ان تعرف ما عليك تجاهله .,['anticipation']
الامر ل الله وش نسوي نطرد ورا الرزق ولابه شي,"['surprise', 'disgust']"
ربي اجعل ما تتمناه قلوبنا ، تراه اعيننا و لو بع ٓ د حين,['acceptance']
مافي زول بيخرب غير الحكومه 😒 # تسقط _ بس # موكب 6 يناير # مدن _ السودان _ تنتفض,['disgust']
اووف حاسد بقووة ذا 😳🔥,"['fear', 'disgust']"
خشيت ان تكون احدى الرسائل هي النهاية ، و كانت النهاية ب لا رسالة ..,"['sadness', 'fear']"
قد عجبت من صبرك ملائكة السماوات # يا _ حسين,['surprise']
مطعم اسطنبول كير بيداسي في # طرابزون من تجربة شخصية ⬅️ اسعار مناسبة ⬅️ خدمة ممتازة ⬅️ جلسات وإطلالة الموقع : sta…,['acceptance']
اجعلها في كل وقت : المنتدى : اسلاميات واناشيد وطنية - slamway ارسلت ب واسطة : عاشقة الجهاد وقت المشاركة : 01-23-2010 في 03:,['neutral']
بث مباشر | مراسل # السعودية عبدالله ال عبيد من # مطار _ ابها الدولي . # قناة _ السعودية,['neutral']
امرأة قالت لزوجها : اخاف ان تتزوج علي ! فتزوج عليها .. لأنه لا يحب ان يراها خائفة .. ! قمة الحب و الوفاء,['disgust']
واضح ان ماعندها سالفه بس و لكن هل فعلا الطبقه الارستقراطيه مايروحون المستشفى ؟ شدعوه عاد كلهم تجيهم ام زكي القصر,['surprise']
استشهاد الشاب # عقاب _ دراوشه في # فلسطين لإسمك يا ( عقاب ) اكثر من معنى . و لعل احد هذه المعاني سيأتي به الله عما قريب ... !!!!!! # غزة _ تحت _ القصف # التطبيع _ خيانة وداعا ايها المبتسم,['sadness']
قال الامام الحسين ( عليه السلام ) لا يأمن يوم القيامة الا من قد خاف الله في الدنيا المصدر : بحار الانوار ج 44 ص 192 ح 5 # العزاء _ عنوان _ الولاء # عاشوراء,['anticipation']
كل عام و الإمارات شعبا وقيادة بألف خير # اليوم _ الوطني _46_ للامارات,['acceptance']
اذا انتي اسعد انثى ل انك بجنبي انا اسعد رجل .. ل انك تحبينه,"['love', 'acceptance']"
و الله نفس افكاري بس انتي حطيتيه بسياق جدا واضح,['acceptance']
# حياتك 48 كيف نرجع رايد اللي اول الايام !💔,['sadness']
من هذا المنبر اعلن اني اكبر معتوه في هذا الكون ، ب سبب غوغل تلبار نسفت فايرفوكس ب كل اضافاتو ... الله يستر .. :),['sadness']
و من يعمل من الصالحات من ذكر ‌ او انثى و هو مؤمن فأولئك يدخلون الجنة و لا يظلمون نقير ‌ ا ﴿ 1 2 4 ﴾ -- النساء # uran,['acceptance']
انا اذكره ايام الطيبين كنا نروح رحله حق حديقه الحيوان,['acceptance']
اثر الجمايل في بطون المجانين اخير منها في بطون الصحاحي على الأقل اذا انكروا فعلك الزين لك حق ما تشره على غير صاحي,['acceptance']
حقوق المهندسين المسلوبة منذ سنوات نتأمل بك خيرا بإسترجاعها ... # مهندسو _ الكهرباء _ يدعمون _ الكاظمي,"['acceptance', 'sadness']"
يوم انا اتمنى وصاله صد عني يوم جافيته .. ولهتي يادموعه ؟,"['love', 'sadness']"
"اعلم اننا افترقنا من اللحظة التي صرنا نأخذ وقتا اقل في الحديث من اللحظة التي صرنا نفكر في الكلمات قبل ان نقولها من اللحظة التي صرنا نتساءل ماذا تعني الكلمات و عن القصد منها , من اللحظة التي صرنا نختار الصمت حتى لا نؤذي بعضنا حتى نحتفظ بالباقيات الصالحات من الحب .","['sadness', 'disgust']"
